13:05:34 [INFO] Opening target process: csgo.exe
13:05:34 [ERROR] Could not open process csgo.exe!
13:05:36 [INFO] Opening target process: csgo.exe
13:05:36 [ERROR] Could not open process csgo.exe!
13:05:37 [INFO] Opening target process: csgo.exe
13:05:37 [ERROR] Could not open process csgo.exe!
13:05:41 [INFO] Opening target process: csgo.exe
13:05:41 [ERROR] Could not open process csgo.exe!
13:06:02 [INFO] Opening target process: csgo.exe
13:06:02 [ERROR] Could not open process csgo.exe!
13:06:03 [INFO] Opening target process: csgo.exe
13:06:03 [ERROR] Could not open process csgo.exe!
13:08:03 [INFO] Opening target process: csgo.exe
13:08:03 [INFO] Starting signature scanning: 57 items
13:08:03 [INFO] Found signature: dwClientState => 0x588D9C
13:08:03 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
13:08:03 [INFO] Found signature: dwClientState_IsHLTV => 0x4D40
13:08:03 [INFO] Found signature: dwClientState_Map => 0x28C
13:08:03 [INFO] Found signature: dwClientState_MapDirectory => 0x188
13:08:03 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
13:08:03 [INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
13:08:03 [INFO] Found signature: dwClientState_State => 0x108
13:08:03 [INFO] Found signature: dwClientState_ViewAngles => 0x4D88
13:08:03 [INFO] Found signature: clientstate_delta_ticks => 0x174
13:08:03 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
13:08:03 [INFO] Found signature: clientstate_choked_commands => 0x4D28
13:08:03 [INFO] Found signature: clientstate_net_channel => 0x9C
13:08:03 [INFO] Found signature: dwEntityList => 0x4D3D6AC
13:08:03 [INFO] Found signature: dwForceAttack => 0x316ED60
13:08:03 [INFO] Found signature: dwForceAttack2 => 0x316ED6C
13:08:03 [INFO] Found signature: dwForceBackward => 0x316EDB4
13:08:03 [INFO] Found signature: dwForceForward => 0x316ED90
13:08:03 [INFO] Found signature: dwForceJump => 0x51E0ED0
13:08:03 [INFO] Found signature: dwForceLeft => 0x316EDA8
13:08:03 [INFO] Found signature: dwForceRight => 0x316EDCC
13:08:03 [INFO] Found signature: dwGameDir => 0x6274F8
13:08:03 [INFO] Found signature: dwGameRulesProxy => 0x52541AC
13:08:03 [INFO] Found signature: dwGetAllClasses => 0xD4FCDC
13:08:03 [INFO] Found signature: dwGlobalVars => 0x588AA0
13:08:03 [INFO] Found signature: dwGlowObjectManager => 0x527EF60
13:08:03 [INFO] Found signature: dwInput => 0x5188848
13:08:03 [INFO] Found signature: dwInterfaceLinkList => 0x8F5654
13:08:03 [INFO] Found signature: dwLocalPlayer => 0xD29B0C
13:08:03 [INFO] Found signature: dwMouseEnable => 0xD2F6B0
13:08:03 [INFO] Found signature: dwMouseEnablePtr => 0xD2F680
13:08:03 [INFO] Found signature: dwPlayerResource => 0x316D0EC
13:08:03 [INFO] Found signature: dwRadarBase => 0x517240C
13:08:03 [INFO] Found signature: dwSensitivity => 0xD2F54C
13:08:03 [INFO] Found signature: dwSensitivityPtr => 0xD2F520
13:08:03 [INFO] Found signature: dwSetClanTag => 0x89D60
13:08:03 [INFO] Found signature: dwViewMatrix => 0x4D2F0C4
13:08:03 [INFO] Found signature: dwWeaponTable => 0x518930C
13:08:03 [INFO] Found signature: dwWeaponTableIndex => 0x324C
13:08:03 [INFO] Found signature: dwYawPtr => 0xD2F310
13:08:03 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD34530
13:08:03 [INFO] Found signature: dwbSendPackets => 0xD36FA
13:08:03 [INFO] Found signature: dwppDirect3DDevice9 => 0xA6030
13:08:03 [INFO] Found signature: m_pStudioHdr => 0x294C
13:08:03 [INFO] Found signature: m_yawClassPtr => 0xD2F310
13:08:03 [INFO] Found signature: m_pitchClassPtr => 0x51726A8
13:08:03 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
13:08:03 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
13:08:03 [INFO] Found signature: m_bDormant => 0xED
13:08:03 [INFO] Found signature: model_ambient_min => 0x58BDBC
13:08:03 [INFO] Found signature: set_abs_angles => 0x1CEC00
13:08:03 [INFO] Found signature: set_abs_origin => 0x1CEA40
13:08:03 [INFO] Found signature: is_c4_owner => 0x3A4360
13:08:03 [INFO] Found signature: force_update_spectator_glow => 0x397F32
13:08:03 [INFO] Found signature: anim_overlays => 0x2980
13:08:03 [INFO] Found signature: m_flSpawnTime => 0xA360
13:08:03 [INFO] Found signature: find_hud_element => 0x2E7DB6C0
13:08:03 [INFO] Finished signature scanning: 57/57 items successful
13:08:03 [INFO] Starting netvar scanning: 85 items
13:08:03 [INFO] Found netvar: m_ArmorValue => 0xB368
13:08:03 [INFO] Found netvar: m_Collision => 0x320
13:08:03 [INFO] Found netvar: m_CollisionGroup => 0x474
13:08:03 [INFO] Found netvar: m_Local => 0x2FBC
13:08:03 [INFO] Found netvar: m_MoveType => 0x25B
13:08:03 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31B4
13:08:03 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31B0
13:08:03 [INFO] Found netvar: m_aimPunchAngle => 0x302C
13:08:03 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
13:08:03 [INFO] Found netvar: m_bGunGameImmunity => 0x3930
13:08:03 [INFO] Found netvar: m_bHasDefuser => 0xB378
13:08:03 [INFO] Found netvar: m_bHasHelmet => 0xB35C
13:08:03 [INFO] Found netvar: m_bInReload => 0x3228
13:08:03 [INFO] Found netvar: m_bIsDefusing => 0x391C
13:08:03 [INFO] Found netvar: m_bIsScoped => 0x3914
13:08:03 [INFO] Found netvar: m_bSpotted => 0x93D
13:08:03 [INFO] Found netvar: m_bSpottedByMask => 0x980
13:08:03 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
13:08:03 [INFO] Found netvar: m_fAccuracyPenalty => 0x3320
13:08:03 [INFO] Found netvar: m_fFlags => 0x104
13:08:03 [INFO] Found netvar: m_flFallbackWear => 0x31C0
13:08:03 [INFO] Found netvar: m_flFlashDuration => 0xA410
13:08:03 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA40C
13:08:03 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3228
13:08:03 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
13:08:03 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
13:08:03 [INFO] Found netvar: m_hObserverTarget => 0x3388
13:08:03 [INFO] Found netvar: m_hOwner => 0x29CC
13:08:03 [INFO] Found netvar: m_hOwnerEntity => 0x14C
13:08:03 [INFO] Found netvar: m_iAccountID => 0x2FC8
13:08:03 [INFO] Found netvar: m_iClip1 => 0x3254
13:08:03 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
13:08:03 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
13:08:03 [INFO] Found netvar: m_iCrosshairId => 0xB378
13:08:03 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
13:08:03 [INFO] Found netvar: m_iFOVStart => 0x31E8
13:08:03 [INFO] Found netvar: m_iFOV => 0x31E4
13:08:03 [INFO] Found netvar: m_iGlowIndex => 0xA410
13:08:03 [INFO] Found netvar: m_iHealth => 0x100
13:08:03 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
13:08:03 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
13:08:03 [INFO] Found netvar: m_iObserverMode => 0x3374
13:08:03 [INFO] Found netvar: m_iShotsFired => 0xA380
13:08:03 [INFO] Found netvar: m_iState => 0x3248
13:08:03 [INFO] Found netvar: m_iTeamNum => 0xF4
13:08:03 [INFO] Found netvar: m_lifeState => 0x25F
13:08:03 [INFO] Found netvar: m_nFallbackPaintKit => 0x31B8
13:08:03 [INFO] Found netvar: m_nFallbackSeed => 0x31BC
13:08:03 [INFO] Found netvar: m_nFallbackStatTrak => 0x31C4
13:08:03 [INFO] Found netvar: m_nForceBone => 0x268C
13:08:03 [INFO] Found netvar: m_nTickBase => 0x342C
13:08:03 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
13:08:03 [INFO] Found netvar: m_szCustomName => 0x303C
13:08:03 [INFO] Found netvar: m_szLastPlaceName => 0x35B0
13:08:03 [INFO] Found netvar: m_vecOrigin => 0x138
13:08:03 [INFO] Found netvar: m_vecVelocity => 0x114
13:08:03 [INFO] Found netvar: m_vecViewOffset => 0x108
13:08:03 [INFO] Found netvar: m_viewPunchAngle => 0x3020
13:08:03 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
13:08:03 [INFO] Found netvar: m_clrRender => 0x70
13:08:03 [INFO] Found netvar: m_flC4Blow => 0x2990
13:08:03 [INFO] Found netvar: m_flTimerLength => 0x2994
13:08:03 [INFO] Found netvar: m_flDefuseLength => 0x29A8
13:08:03 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
13:08:03 [INFO] Found netvar: cs_gamerules_data => 0x0
13:08:03 [INFO] Found netvar: m_SurvivalRules => 0xCF8
13:08:03 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1320
13:08:03 [INFO] Found netvar: m_bIsValveDS => 0x75
13:08:03 [INFO] Found netvar: m_bFreezePeriod => 0x20
13:08:03 [INFO] Found netvar: m_bBombPlanted => 0x99D
13:08:03 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
13:08:03 [INFO] Found netvar: m_flSimulationTime => 0x268
13:08:03 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A7C
13:08:03 [INFO] Found netvar: m_angEyeAnglesX => 0xB36C
13:08:03 [INFO] Found netvar: m_angEyeAnglesY => 0xB370
13:08:03 [INFO] Found netvar: m_flNextAttack => 0x2D70
13:08:03 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
13:08:03 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
13:08:03 [INFO] Found netvar: m_bStartedArming => 0x33E0
13:08:03 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
13:08:03 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
13:08:03 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
13:08:03 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
13:08:03 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
13:08:03 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
13:08:03 [INFO] Finished netvar scanning: 85/85 items successful
10:31:14 [INFO] Opening target process: csgo.exe
10:31:14 [ERROR] Could not open process csgo.exe!
10:31:20 [INFO] Opening target process: csgo.exe
10:31:20 [INFO] Starting signature scanning: 57 items
10:31:20 [INFO] Found signature: dwClientState => 0x588D9C
10:31:20 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
10:31:20 [INFO] Found signature: dwClientState_IsHLTV => 0x4D40
10:31:20 [INFO] Found signature: dwClientState_Map => 0x28C
10:31:20 [INFO] Found signature: dwClientState_MapDirectory => 0x188
10:31:20 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
10:31:20 [INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
10:31:20 [INFO] Found signature: dwClientState_State => 0x108
10:31:20 [INFO] Found signature: dwClientState_ViewAngles => 0x4D88
10:31:20 [INFO] Found signature: clientstate_delta_ticks => 0x174
10:31:20 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
10:31:20 [INFO] Found signature: clientstate_choked_commands => 0x4D28
10:31:20 [INFO] Found signature: clientstate_net_channel => 0x9C
10:31:21 [INFO] Found signature: dwEntityList => 0x4D3D66C
10:31:21 [INFO] Found signature: dwForceAttack => 0x316ED20
10:31:21 [INFO] Found signature: dwForceAttack2 => 0x316ED2C
10:31:21 [INFO] Found signature: dwForceBackward => 0x316ED74
10:31:21 [INFO] Found signature: dwForceForward => 0x316ED50
10:31:21 [INFO] Found signature: dwForceJump => 0x51E0E90
10:31:21 [INFO] Found signature: dwForceLeft => 0x316ED68
10:31:21 [INFO] Found signature: dwForceRight => 0x316ED8C
10:31:21 [INFO] Found signature: dwGameDir => 0x6274F8
10:31:21 [INFO] Found signature: dwGameRulesProxy => 0x525416C
10:31:21 [INFO] Found signature: dwGetAllClasses => 0xD4FCDC
10:31:21 [INFO] Found signature: dwGlobalVars => 0x588AA0
10:31:21 [INFO] Found signature: dwGlowObjectManager => 0x527EF00
10:31:21 [INFO] Found signature: dwInput => 0x5188808
10:31:21 [INFO] Found signature: dwInterfaceLinkList => 0x8F5654
10:31:21 [INFO] Found signature: dwLocalPlayer => 0xD29B0C
10:31:21 [INFO] Found signature: dwMouseEnable => 0xD2F6B0
10:31:21 [INFO] Found signature: dwMouseEnablePtr => 0xD2F680
10:31:21 [INFO] Found signature: dwPlayerResource => 0x316D0AC
10:31:21 [INFO] Found signature: dwRadarBase => 0x51723CC
10:31:21 [INFO] Found signature: dwSensitivity => 0xD2F54C
10:31:21 [INFO] Found signature: dwSensitivityPtr => 0xD2F520
10:31:21 [INFO] Found signature: dwSetClanTag => 0x89D60
10:31:21 [INFO] Found signature: dwViewMatrix => 0x4D2F084
10:31:21 [INFO] Found signature: dwWeaponTable => 0x51892CC
10:31:21 [INFO] Found signature: dwWeaponTableIndex => 0x324C
10:31:21 [INFO] Found signature: dwYawPtr => 0xD2F310
10:31:21 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD34530
10:31:21 [INFO] Found signature: dwbSendPackets => 0xD36FA
10:31:21 [INFO] Found signature: dwppDirect3DDevice9 => 0xA6030
10:31:21 [INFO] Found signature: m_pStudioHdr => 0x294C
10:31:21 [INFO] Found signature: m_yawClassPtr => 0xD2F310
